URL,EXTRACTED VALUE
"/media/Dados/bases/SWDE/camera/camera-onsale/0029.htm","Service Net - 3 Year EXT, Repair Coverage for Consumer Electronics - $74.99"
"/media/Dados/bases/SWDE/camera/camera-onsale/0062.htm","Service Net - 3 Year EXT, Repair Coverage for Consumer Electronics - $74.99"
"/media/Dados/bases/SWDE/camera/camera-onsale/0114.htm","Service Net - 3 Yr DOP, Accidental Damage From Handling Coverage for Digital Cameras &amp; Camcorders - $85.99"
"/media/Dados/bases/SWDE/camera/camera-onsale/0239.htm","Service Net - 3 Year EXT, Repair Coverage for Consumer Electronics - $74.99"
"/media/Dados/bases/SWDE/camera/camera-onsale/0030.htm","Service Net - 3 Year EXT, Repair Coverage for Consumer Electronics - $99.99"
"/media/Dados/bases/SWDE/camera/camera-onsale/0086.htm","Service Net - 3 Year EXT, Repair Coverage for Consumer Electronics - $114.99"
"/media/Dados/bases/SWDE/camera/camera-onsale/0240.htm","Service Net - 3 Year EXT, Repair Coverage for Consumer Electronics - $74.99"
"/media/Dados/bases/SWDE/camera/camera-onsale/0077.htm","Service Net - 3 Year EXT, Repair Coverage for Consumer Electronics - $74.99"
"/media/Dados/bases/SWDE/camera/camera-onsale/0028.htm","Service Net - 3 Year EXT, Repair Coverage for Consumer Electronics - $74.99"
"/media/Dados/bases/SWDE/camera/camera-onsale/0015.htm","Service Net - 3 Year EXT, Repair Coverage for Consumer Electronics - $74.99"
"/media/Dados/bases/SWDE/camera/camera-onsale/0241.htm","Service Net - 3 Year EXT, Repair Coverage for Consumer Electronics - $74.99"
"/media/Dados/bases/SWDE/camera/camera-onsale/0058.htm","Service Net - 3 Year EXT, Repair Coverage for Consumer Electronics - $74.99"
