URL,EXTRACTED VALUE
"/media/Dados/bases/SWDE/camera/camera-onsale/0029.htm","Service Net - 4 Year EXT, Repair Coverage for Consumer Electronics - $87.99"
"/media/Dados/bases/SWDE/camera/camera-onsale/0062.htm","Service Net - 4 Year EXT, Repair Coverage for Consumer Electronics - $87.99"
"/media/Dados/bases/SWDE/camera/camera-onsale/0239.htm","Service Net - 4 Year EXT, Repair Coverage for Consumer Electronics - $87.99"
"/media/Dados/bases/SWDE/camera/camera-onsale/0030.htm","Service Net - 4 Year EXT, Repair Coverage for Consumer Electronics - $115.99"
"/media/Dados/bases/SWDE/camera/camera-onsale/0086.htm","Service Net - 4 Year EXT, Repair Coverage for Consumer Electronics - $158.99"
"/media/Dados/bases/SWDE/camera/camera-onsale/0240.htm","Service Net - 4 Year EXT, Repair Coverage for Consumer Electronics - $87.99"
"/media/Dados/bases/SWDE/camera/camera-onsale/0077.htm","Service Net - 4 Year EXT, Repair Coverage for Consumer Electronics - $87.99"
"/media/Dados/bases/SWDE/camera/camera-onsale/0028.htm","Service Net - 4 Year EXT, Repair Coverage for Consumer Electronics - $87.99"
"/media/Dados/bases/SWDE/camera/camera-onsale/0015.htm","Service Net - 4 Year EXT, Repair Coverage for Consumer Electronics - $87.99"
"/media/Dados/bases/SWDE/camera/camera-onsale/0241.htm","Service Net - 4 Year EXT, Repair Coverage for Consumer Electronics - $87.99"
"/media/Dados/bases/SWDE/camera/camera-onsale/0058.htm","Service Net - 4 Year EXT, Repair Coverage for Consumer Electronics - $87.99"
